2024-05-21 23:28:16,212 INFO    MainThread:22461 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-05-21 23:28:16,213 INFO    MainThread:22461 [wandb_setup.py:_flush():76] Configure stats pid to 22461
2024-05-21 23:28:16,213 INFO    MainThread:22461 [wandb_setup.py:_flush():76] Loading settings from /Users/krishpatel/.config/wandb/settings
2024-05-21 23:28:16,213 INFO    MainThread:22461 [wandb_setup.py:_flush():76] Loading settings from /Users/krishpatel/Desktop/MiniGPT/wandb/settings
2024-05-21 23:28:16,213 INFO    MainThread:22461 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-21 23:28:16,213 INFO    MainThread:22461 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-21 23:28:16,213 INFO    MainThread:22461 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/Users/krishpatel/Desktop/MiniGPT/train.py', 'program': '/Users/krishpatel/Desktop/MiniGPT/train.py'}
2024-05-21 23:28:16,213 INFO    MainThread:22461 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-21 23:28:16,213 INFO    MainThread:22461 [wandb_init.py:_log_setup():520] Logging user logs to /Users/krishpatel/Desktop/MiniGPT/wandb/run-20240521_232816-ai0o0r2m/logs/debug.log
2024-05-21 23:28:16,213 INFO    MainThread:22461 [wandb_init.py:_log_setup():521] Logging internal logs to /Users/krishpatel/Desktop/MiniGPT/wandb/run-20240521_232816-ai0o0r2m/logs/debug-internal.log
2024-05-21 23:28:16,213 INFO    MainThread:22461 [wandb_init.py:init():560] calling init triggers
2024-05-21 23:28:16,213 INFO    MainThread:22461 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2024-05-21 23:28:16,213 INFO    MainThread:22461 [wandb_init.py:init():610] starting backend
2024-05-21 23:28:16,214 INFO    MainThread:22461 [wandb_init.py:init():614] setting up manager
2024-05-21 23:28:16,218 INFO    MainThread:22461 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-05-21 23:28:16,220 INFO    MainThread:22461 [wandb_init.py:init():622] backend started and connected
2024-05-21 23:28:16,224 INFO    MainThread:22461 [wandb_init.py:init():711] updated telemetry
2024-05-21 23:28:16,248 INFO    MainThread:22461 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-05-21 23:28:16,573 INFO    MainThread:22461 [wandb_run.py:_on_init():2396] communicating current version
2024-05-21 23:28:16,773 INFO    MainThread:22461 [wandb_run.py:_on_init():2405] got version response 
2024-05-21 23:28:16,774 INFO    MainThread:22461 [wandb_init.py:init():795] starting run threads in backend
2024-05-21 23:28:21,548 INFO    MainThread:22461 [wandb_run.py:_console_start():2374] atexit reg
2024-05-21 23:28:21,548 INFO    MainThread:22461 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-05-21 23:28:21,548 INFO    MainThread:22461 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-05-21 23:28:21,548 INFO    MainThread:22461 [wandb_run.py:_redirect():2319] Redirects installed.
2024-05-21 23:28:21,549 INFO    MainThread:22461 [wandb_init.py:init():838] run started, returning control to user process
